Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR15276518.R1	SRR15276518.R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7701240.0	1.1 Gbp	0.0	50-150	36.0	80.9812237229131	147.97632355309014	150	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR15276518.R2	SRR15276518.R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7701240.0	1.1 Gbp	0.0	50-150	36.0	82.64625182922518	146.65127031491033	150	pass	pass	pass	pass	pass	pass	warn	pass	warn	pass
SRR15276519.R1	SRR15276519.R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42786669.0	6.3 Gbp	0.0	50-150	41.0	89.9861288783346	147.60955355042947	150	pass	pass	pass	warn	fail	pass	warn	pass	pass	pass
SRR15276519.R2	SRR15276519.R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42786669.0	6.2 Gbp	0.0	50-150	41.0	88.50375279819106	145.69476796616254	150	pass	pass	pass	warn	fail	pass	warn	pass	pass	pass
SRR15276520.R1	SRR15276520.R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12945862.0	1.9 Gbp	0.0	50-150	45.0	78.2915980142968	148.1898099176401	150	pass	pass	pass	pass	fail	pass	warn	pass	pass	pass
SRR15276520.R2	SRR15276520.R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12945862.0	1.9 Gbp	0.0	50-150	45.0	80.00586200069372	147.3374198643551	150	pass	pass	pass	pass	fail	pass	warn	pass	warn	pass
SRR15276521.R1	SRR15276521.R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33104564.0	4.8 Gbp	0.0	50-150	40.0	82.45937199094932	147.03722740465633	150	pass	pass	pass	pass	fail	pass	warn	pass	pass	pass
SRR15276521.R2	SRR15276521.R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33104564.0	4.8 Gbp	0.0	50-150	40.0	84.27658873644016	144.90597405239953	150	pass	pass	pass	pass	fail	pass	warn	pass	warn	pass
SRR15276522.R1	SRR15276522.R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9564389.0	1.4 Gbp	0.0	50-150	36.0	77.51542060362438	148.22991233418048	150	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR15276522.R2	SRR15276522.R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9564389.0	1.4 Gbp	0.0	50-150	36.0	79.79318472658335	147.06499767000275	150	pass	pass	pass	pass	pass	pass	warn	pass	warn	pass
SRR15276523.R1	SRR15276523.R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18341077.0	2.7 Gbp	0.0	50-150	39.0	82.34930717134532	147.82855881364	150	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
SRR15276523.R2	SRR15276523.R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18341077.0	2.7 Gbp	0.0	50-150	39.0	82.76789056565565	147.49843485199915	150	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
SRR15276524.R1	SRR15276524.R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19498048.0	2.8 Gbp	0.0	50-150	40.0	83.25482995820919	147.6827892720338	150	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
SRR15276524.R2	SRR15276524.R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19498048.0	2.8 Gbp	0.0	50-150	40.0	83.52640384832904	147.34881891766807	150	pass	pass	pass	warn	fail	pass	warn	pass	pass	pass
SRR15276525.R1	SRR15276525.R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9575527.0	1.4 Gbp	0.0	50-150	37.0	80.51886882886505	148.14088509175525	150	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
SRR15276525.R2	SRR15276525.R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9575527.0	1.4 Gbp	0.0	50-150	37.0	82.94675268272465	146.5447320027399	150	pass	pass	pass	pass	warn	pass	warn	pass	warn	pass
SRR15276526.R1	SRR15276526.R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8858336.0	1.3 Gbp	0.0	50-150	40.0	83.91405851672225	147.7301439006152	150	pass	pass	pass	pass	fail	pass	warn	pass	pass	pass
SRR15276526.R2	SRR15276526.R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8858336.0	1.3 Gbp	0.0	50-150	40.0	84.47309297017726	146.92012698547447	150	pass	pass	pass	pass	fail	pass	warn	pass	warn	pass
SRR15276527.R1	SRR15276527.R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35555314.0	5.2 Gbp	0.0	50-150	40.0	78.90730210813327	147.648285260538	150	pass	pass	pass	pass	fail	pass	warn	pass	pass	pass
SRR15276527.R2	SRR15276527.R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35555314.0	5.2 Gbp	0.0	50-150	40.0	79.51573566567451	146.9365307250556	150	pass	pass	pass	pass	fail	pass	warn	pass	warn	pass
SRR15276528.R1	SRR15276528.R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9351766.0	1.3 Gbp	0.0	50-150	37.0	79.88080754314609	147.94352596076504	150	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
SRR15276528.R2	SRR15276528.R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9351766.0	1.3 Gbp	0.0	50-150	37.0	81.72976837134416	146.54067916156157	150	pass	pass	pass	pass	warn	pass	warn	pass	warn	pass
SRR15276529.R1	SRR15276529.R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12138032.0	1.8 Gbp	0.0	50-150	41.0	79.3571666672444	148.29835108360234	150	pass	pass	pass	pass	fail	pass	warn	pass	pass	pass
SRR15276529.R2	SRR15276529.R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12138032.0	1.7 Gbp	0.0	50-150	41.0	80.69925873133033	147.52144902896944	150	pass	pass	pass	pass	fail	pass	warn	pass	warn	pass
SRR15276530.R1	SRR15276530.R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6914360.0	1 Gbp	0.0	50-150	36.0	80.35376210268547	148.12938695699964	150	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
SRR15276530.R2	SRR15276530.R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6914360.0	1 Gbp	0.0	50-150	36.0	81.58007226020837	147.4675259893902	150	pass	pass	pass	pass	warn	pass	warn	pass	warn	pass
