Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR15276518.R1	19.0187762770869	36.0	147.97632355309014	150	0.0	7701240.0
SRR15276518.R2	17.35374817077482	36.0	146.65127031491033	150	0.0	7701240.0
SRR15276519.R1	10.013871121665403	41.0	147.60955355042947	150	10.0	42786669.0
SRR15276519.R2	11.496247201808941	41.0	145.69476796616254	150	10.0	42786669.0
SRR15276520.R1	21.708401985703205	45.0	148.1898099176401	150	10.0	12945862.0
SRR15276520.R2	19.994137999306275	45.0	147.3374198643551	150	10.0	12945862.0
SRR15276521.R1	17.54062800905068	40.0	147.03722740465633	150	10.0	33104564.0
SRR15276521.R2	15.72341126355984	40.0	144.90597405239953	150	10.0	33104564.0
SRR15276522.R1	22.484579396375622	36.0	148.22991233418048	150	0.0	9564389.0
SRR15276522.R2	20.20681527341665	36.0	147.06499767000275	150	0.0	9564389.0
SRR15276523.R1	17.650692828654684	39.0	147.82855881364	150	0.0	18341077.0
SRR15276523.R2	17.232109434344352	39.0	147.49843485199915	150	0.0	18341077.0
SRR15276524.R1	16.745170041790814	40.0	147.6827892720338	150	0.0	19498048.0
SRR15276524.R2	16.47359615167096	40.0	147.34881891766807	150	10.0	19498048.0
SRR15276525.R1	19.481131171134948	37.0	148.14088509175525	150	0.0	9575527.0
SRR15276525.R2	17.05324731727535	37.0	146.5447320027399	150	0.0	9575527.0
SRR15276526.R1	16.08594148327775	40.0	147.7301439006152	150	10.0	8858336.0
SRR15276526.R2	15.526907029822738	40.0	146.92012698547447	150	10.0	8858336.0
SRR15276527.R1	21.092697891866734	40.0	147.648285260538	150	10.0	35555314.0
SRR15276527.R2	20.484264334325488	40.0	146.9365307250556	150	10.0	35555314.0
SRR15276528.R1	20.11919245685391	37.0	147.94352596076504	150	0.0	9351766.0
SRR15276528.R2	18.270231628655836	37.0	146.54067916156157	150	0.0	9351766.0
SRR15276529.R1	20.6428333327556	41.0	148.29835108360234	150	10.0	12138032.0
SRR15276529.R2	19.300741268669668	41.0	147.52144902896944	150	10.0	12138032.0
SRR15276530.R1	19.646237897314535	36.0	148.12938695699964	150	0.0	6914360.0
SRR15276530.R2	18.419927739791632	36.0	147.4675259893902	150	0.0	6914360.0
SRR15276531.R1	19.392532370977804	38.0	148.165287746456	150	10.0	7324330.0
SRR15276531.R2	18.41893211584828	38.0	147.68784530462173	150	10.0	7324330.0
SRR15276532.R1	26.53582667150968	48.0	148.55025188063837	150	10.0	13686443.0
SRR15276532.R2	24.545221612251297	48.0	147.89093543150693	150	10.0	13686443.0
SRR15276533.R1	20.175532555195986	37.0	148.1524960669678	150	10.0	8173719.0
SRR15276533.R2	18.445789446528195	37.0	147.20490366747376	150	10.0	8173719.0
SRR15276534.R1	14.666443661017453	43.0	147.25987832668514	150	10.0	18921651.0
SRR15276534.R2	14.583424510367195	43.0	147.2042763604508	150	10.0	18921651.0
SRR15276535.R1	19.18629863333254	39.0	147.73908144097516	150	0.0	21104708.0
SRR15276535.R2	18.763470841346688	39.0	147.1575566456546	150	0.0	21104708.0
SRR15276536.R1	23.086382041510944	37.0	148.13312148992364	150	0.0	8744824.0
SRR15276536.R2	22.8303692202186	37.0	148.07274005743284	150	0.0	8744824.0
SRR15276537.R1	21.233440038873766	37.0	148.29447587013553	150	10.0	9079620.0
SRR15276537.R2	19.336552513630764	37.0	147.1568945616667	150	10.0	9079620.0
SRR15276538.R1	15.915826654212395	38.0	147.81477198071397	150	0.0	11656514.0
SRR15276538.R2	13.414720745558611	38.0	146.6751048383762	150	0.0	11656514.0
SRR15276539.R1	14.390831728336622	40.0	147.44291076265006	150	10.0	19604168.0
SRR15276539.R2	10.876113519798665	40.0	145.32262751472035	150	10.0	19604168.0
SRR15276540.R1	19.512757541673338	36.0	148.06129537625316	150	0.0	6194154.0
SRR15276540.R2	17.867340450548824	36.0	146.76465034611667	150	0.0	6194154.0
SRR15276541.R1	19.77209056309715	37.0	147.98017060473407	150	0.0	9339014.0
SRR15276541.R2	18.638423860320074	38.0	147.3741518108871	150	0.0	9339014.0
SRR15276542.R1	20.767963402002934	35.0	148.0306683457899	150	0.0	6284232.0
SRR15276542.R2	19.408343221120177	35.0	147.3115230309766	150	0.0	6284232.0
SRR15276543.R1	18.29077451749788	40.0	147.73923977997748	150	0.0	25297229.0
SRR15276543.R2	18.228269276083083	40.0	147.5138275421391	150	0.0	25297229.0
SRR15276544.R1	20.967543262707366	35.0	148.41573261044414	150	0.0	9968886.0
SRR15276544.R2	18.278441512126847	36.0	146.62518811028633	150	0.0	9968886.0
SRR15276545.R1	18.456404683421894	39.0	147.80972902435317	150	0.0	15686465.0
SRR15276545.R2	18.166368260833707	39.0	147.65110902934472	150	0.0	15686465.0
SRR15276546.R1	17.227788238406745	35.0	147.78836443214254	150	0.0	6211867.0
SRR15276546.R2	16.920940048716233	35.0	147.28915525718756	150	0.0	6211867.0
SRR15276547.R1	12.140507128476045	39.0	147.4781107095053	150	0.0	15033813.0
SRR15276547.R2	10.2748813970571	39.0	146.2093001289826	150	0.0	15033813.0
