name	taxonomy_id	taxonomy_lvl	SRR15276518_family_filtered.bracken_num	SRR15276518_family_filtered.bracken_frac	SRR15276519_family_filtered.bracken_num	SRR15276519_family_filtered.bracken_frac	SRR15276520_family_filtered.bracken_num	SRR15276520_family_filtered.bracken_frac	SRR15276521_family_filtered.bracken_num	SRR15276521_family_filtered.bracken_frac	SRR15276522_family_filtered.bracken_num	SRR15276522_family_filtered.bracken_frac	SRR15276523_family_filtered.bracken_num	SRR15276523_family_filtered.bracken_frac	SRR15276524_family_filtered.bracken_num	SRR15276524_family_filtered.bracken_frac	SRR15276525_family_filtered.bracken_num	SRR15276525_family_filtered.bracken_frac	SRR15276526_family_filtered.bracken_num	SRR15276526_family_filtered.bracken_frac	SRR15276527_family_filtered.bracken_num	SRR15276527_family_filtered.bracken_frac	SRR15276528_family_filtered.bracken_num	SRR15276528_family_filtered.bracken_frac	SRR15276529_family_filtered.bracken_num	SRR15276529_family_filtered.bracken_frac	SRR15276530_family_filtered.bracken_num	SRR15276530_family_filtered.bracken_frac	SRR15276531_family_filtered.bracken_num	SRR15276531_family_filtered.bracken_frac	SRR15276532_family_filtered.bracken_num	SRR15276532_family_filtered.bracken_frac	SRR15276533_family_filtered.bracken_num	SRR15276533_family_filtered.bracken_frac	SRR15276534_family_filtered.bracken_num	SRR15276534_family_filtered.bracken_frac	SRR15276535_family_filtered.bracken_num	SRR15276535_family_filtered.bracken_frac	SRR15276536_family_filtered.bracken_num	SRR15276536_family_filtered.bracken_frac	SRR15276537_family_filtered.bracken_num	SRR15276537_family_filtered.bracken_frac	SRR15276538_family_filtered.bracken_num	SRR15276538_family_filtered.bracken_frac	SRR15276539_family_filtered.bracken_num	SRR15276539_family_filtered.bracken_frac	SRR15276540_family_filtered.bracken_num	SRR15276540_family_filtered.bracken_frac	SRR15276541_family_filtered.bracken_num	SRR15276541_family_filtered.bracken_frac	SRR15276542_family_filtered.bracken_num	SRR15276542_family_filtered.bracken_frac	SRR15276543_family_filtered.bracken_num	SRR15276543_family_filtered.bracken_frac	SRR15276544_family_filtered.bracken_num	SRR15276544_family_filtered.bracken_frac	SRR15276545_family_filtered.bracken_num	SRR15276545_family_filtered.bracken_frac	SRR15276546_family_filtered.bracken_num	SRR15276546_family_filtered.bracken_frac	SRR15276547_family_filtered.bracken_num	SRR15276547_family_filtered.bracken_frac
Hominidae	9604	F	547707	0.51577	6614111	0.62782	852133	0.22315	4977078	0.60913	453846	0.15271	2360414	0.44247	2754683	0.54465	556140	0.43631	832931	0.44803	5381656	0.59042	717510	0.53874	438881	0.10212	302578	0.16019	308604	0.16908	343297	0.05492	381542	0.24760	992832	0.30224	1627117	0.24906	277717	0.06654	350454	0.13474	449608	0.08126	2629827	0.51411	303153	0.35729	742354	0.27729	303232	0.20007	3602402	0.49019	410932	0.17322	1725418	0.33691	328740	0.35110	1835456	0.45131
Enterococcaceae	81852	F	227670	0.21439	837251	0.07947	544121	0.14249	5740	0.00070	2323852	0.78192	1831861	0.34339	739593	0.14623	224127	0.17583	91319	0.04912	8894	0.00098	69827	0.05243	2523417	0.58715	1399239	0.74076	1085581	0.59477	2571658	0.41144	779937	0.50615	996907	0.30348	3781571	0.57883	3610361	0.86499	1780363	0.68450	3829092	0.69208	3312	0.00065	280801	0.33095	1164673	0.43503	1101199	0.72655	1767074	0.24045	1746766	0.73633	2256627	0.44063	391547	0.41818	1181139	0.29042
Microbacteriaceae	85023	F	219964	0.20714	2877677	0.27315	443180	0.11606	2972649	0.36381	80332	0.02703	990664	0.18570	1286580	0.25438	164396	0.12897	501502	0.26975	3522462	0.38645	271098	0.20355	109741	0.02553	8851	0.00469	21326	0.01168	182201	0.02915	17460	0.01133	87512	0.02664	622337	0.09526	12275	0.00294	20131	0.00774	99744	0.01803	2078352	0.40630	9251	0.01090	330437	0.12343	11123	0.00734	1673416	0.22771	10384	0.00438	694035	0.13552	20737	0.02215	826454	0.20321
Nocardiaceae	85025	F	20760	0.01955	17737	0.00168	982891	0.25739	5589	0.00068	30920	0.01040	4377	0.00082	59856	0.01183	136407	0.10701	213841	0.11502	22847	0.00251	76418	0.05738	541497	0.12600	82890	0.04388	207922	0.11392	1521294	0.24339	162940	0.10574	545335	0.16601	58138	0.00890	81414	0.01951	183906	0.07071	34408	0.00622	2811	0.00055	68455	0.08068	24315	0.00908	33898	0.02237	12186	0.00166	50382	0.02124	20331	0.00397	20750	0.02216	14528	0.00357
Enterobacteriaceae	543	F	10462	0.00985	50922	0.00483	43300	0.01134	93998	0.01150	28838	0.00970	84456	0.01583	101980	0.02016	43083	0.03380	13013	0.00700	50251	0.00551	88356	0.06634	124177	0.02889	9282	0.00491	4398	0.00241	110362	0.01766	31048	0.02015	65942	0.02007	268193	0.04105	86534	0.02073	66834	0.02570	859546	0.15536	86949	0.01700	95379	0.11241	303754	0.11346	21179	0.01397	181833	0.02474	65989	0.02782	299980	0.05857	114912	0.12273	132450	0.03257
Mycobacteriaceae	1762	F	5301	0.00499	4870	0.00046	244710	0.06408	1724	0.00021	7900	0.00266	1281	0.00024	15750	0.00311	34132	0.02678	53860	0.02897	5995	0.00066	19444	0.01460	134757	0.03136	20542	0.01087	51430	0.02818	376875	0.06030	39908	0.02590	136181	0.04146	15063	0.00231	20517	0.00492	45454	0.01748	8851	0.00160	1855	0.00036	16843	0.01985	6271	0.00234	8436	0.00557	3443	0.00047	12378	0.00522	5378	0.00105	5262	0.00562	3796	0.00093
Anaplasmataceae	942	F	5217	0.00491	2687	0.00026	5419	0.00142	2273	0.00028	5892	0.00198	3443	0.00065	2400	0.00047	6229	0.00489	3882	0.00209	3253	0.00036	5893	0.00442	5464	0.00127	5079	0.00269	5178	0.00284	5412	0.00087	5864	0.00381	3899	0.00119	4909	0.00075	4262	0.00102	5660	0.00218	4368	0.00079	3075	0.00060	5261	0.00620	5101	0.00191	4716	0.00311	3048	0.00041	6184	0.00261	4323	0.00084	4744	0.00507	3669	0.00090
Bacillaceae	186817	F	5051	0.00476	10109	0.00096	6376	0.00167	17500	0.00214	5788	0.00195	5283	0.00099	5323	0.00105	6328	0.00496	4801	0.00258	12957	0.00142	5878	0.00441	5987	0.00139	4508	0.00239	4642	0.00254	5279	0.00084	5586	0.00363	7100	0.00216	8208	0.00126	4404	0.00106	5484	0.00211	4994	0.00090	5809	0.00114	4520	0.00533	4760	0.00178	4466	0.00295	6925	0.00094	6443	0.00272	5404	0.00106	4718	0.00504	5224	0.00128
Flavobacteriaceae	49546	F	4195	0.00395	9650	0.00092	4796	0.00126	8040	0.00098	4636	0.00156	5331	0.00100	5101	0.00101	5171	0.00406	3741	0.00201	8944	0.00098	4701	0.00353	4864	0.00113	3573	0.00189	3783	0.00207	4063	0.00065	4351	0.00282	6270	0.00191	7083	0.00108	3702	0.00089	4369	0.00168	4226	0.00076	5479	0.00107	3727	0.00439	4083	0.00153	3867	0.00255	6689	0.00091	5397	0.00228	5183	0.00101	4024	0.00430	4767	0.00117
Streptomycetaceae	2062	F	3738	0.00352	6412	0.00061	145622	0.03813	3703	0.00045	5096	0.00171	2111	0.00040	10490	0.00207	21067	0.01653	31112	0.01673	6631	0.00073	12198	0.00916	83563	0.01944	13448	0.00712	32012	0.01754	233479	0.03735	25130	0.01631	92183	0.02806	12188	0.00187	12803	0.00307	28559	0.01098	6236	0.00113	8541	0.00167	11372	0.01340	4584	0.00171	5868	0.00387	3952	0.00054	8164	0.00344	4247	0.00083	3900	0.00417	3567	0.00088
