name	taxonomy_id	taxonomy_lvl	SRR15276518_genus_filtered.bracken_num	SRR15276518_genus_filtered.bracken_frac	SRR15276519_genus_filtered.bracken_num	SRR15276519_genus_filtered.bracken_frac	SRR15276520_genus_filtered.bracken_num	SRR15276520_genus_filtered.bracken_frac	SRR15276521_genus_filtered.bracken_num	SRR15276521_genus_filtered.bracken_frac	SRR15276522_genus_filtered.bracken_num	SRR15276522_genus_filtered.bracken_frac	SRR15276523_genus_filtered.bracken_num	SRR15276523_genus_filtered.bracken_frac	SRR15276524_genus_filtered.bracken_num	SRR15276524_genus_filtered.bracken_frac	SRR15276525_genus_filtered.bracken_num	SRR15276525_genus_filtered.bracken_frac	SRR15276526_genus_filtered.bracken_num	SRR15276526_genus_filtered.bracken_frac	SRR15276527_genus_filtered.bracken_num	SRR15276527_genus_filtered.bracken_frac	SRR15276528_genus_filtered.bracken_num	SRR15276528_genus_filtered.bracken_frac	SRR15276529_genus_filtered.bracken_num	SRR15276529_genus_filtered.bracken_frac	SRR15276530_genus_filtered.bracken_num	SRR15276530_genus_filtered.bracken_frac	SRR15276531_genus_filtered.bracken_num	SRR15276531_genus_filtered.bracken_frac	SRR15276532_genus_filtered.bracken_num	SRR15276532_genus_filtered.bracken_frac	SRR15276533_genus_filtered.bracken_num	SRR15276533_genus_filtered.bracken_frac	SRR15276534_genus_filtered.bracken_num	SRR15276534_genus_filtered.bracken_frac	SRR15276535_genus_filtered.bracken_num	SRR15276535_genus_filtered.bracken_frac	SRR15276536_genus_filtered.bracken_num	SRR15276536_genus_filtered.bracken_frac	SRR15276537_genus_filtered.bracken_num	SRR15276537_genus_filtered.bracken_frac	SRR15276538_genus_filtered.bracken_num	SRR15276538_genus_filtered.bracken_frac	SRR15276539_genus_filtered.bracken_num	SRR15276539_genus_filtered.bracken_frac	SRR15276540_genus_filtered.bracken_num	SRR15276540_genus_filtered.bracken_frac	SRR15276541_genus_filtered.bracken_num	SRR15276541_genus_filtered.bracken_frac	SRR15276542_genus_filtered.bracken_num	SRR15276542_genus_filtered.bracken_frac	SRR15276543_genus_filtered.bracken_num	SRR15276543_genus_filtered.bracken_frac	SRR15276544_genus_filtered.bracken_num	SRR15276544_genus_filtered.bracken_frac	SRR15276545_genus_filtered.bracken_num	SRR15276545_genus_filtered.bracken_frac	SRR15276546_genus_filtered.bracken_num	SRR15276546_genus_filtered.bracken_frac	SRR15276547_genus_filtered.bracken_num	SRR15276547_genus_filtered.bracken_frac
Homo	9605	G	547713	0.52254	6614176	0.63057	852144	0.22933	4977308	0.61197	453846	0.15373	2360415	0.44408	2754688	0.54875	556167	0.45055	833020	0.45779	5382229	0.59288	717526	0.55074	438881	0.10404	302578	0.16209	308604	0.17238	343297	0.05596	381543	0.25375	992833	0.31098	1627117	0.25071	277717	0.06695	350454	0.13697	449608	0.08177	2629974	0.51864	303154	0.36822	742355	0.27939	303232	0.20216	3602404	0.49219	410932	0.17524	1725418	0.33855	328740	0.35735	1835457	0.45354
Enterococcus	1350	G	228480	0.21798	840705	0.08015	547756	0.14741	5649	0.00069	2323960	0.78720	1832094	0.34469	740163	0.14744	228722	0.18529	94799	0.05210	8975	0.00099	70698	0.05426	2523323	0.59818	1399147	0.74950	1085629	0.60640	2572107	0.41929	780693	0.51921	996616	0.31216	3781287	0.58262	3610169	0.87035	1780417	0.69586	3829121	0.69643	3272	0.00065	281399	0.34179	1165121	0.43850	1101308	0.73423	1767358	0.24147	1746723	0.74490	2256739	0.44280	391686	0.42578	1181257	0.29189
Curtobacterium	2034	G	218350	0.20832	2875079	0.27410	366945	0.09875	2973956	0.36566	78114	0.02646	990015	0.18626	1281343	0.25525	154018	0.12477	486044	0.26711	3522746	0.38805	265441	0.20374	65563	0.01554	1554	0.00083	3067	0.00171	50395	0.00822	3335	0.00222	40873	0.01280	617390	0.09513	5695	0.00137	4005	0.00157	97077	0.01766	2071654	0.40854	3648	0.00443	328436	0.12361	8517	0.00568	1672030	0.22845	6422	0.00274	692288	0.13584	19187	0.02086	824982	0.20385
Rhodococcus	1827	G	16481	0.01572	14215	0.00136	778974	0.20963	4551	0.00056	24534	0.00831	3601	0.00068	47603	0.00948	108419	0.08783	169265	0.09302	17852	0.00197	60396	0.04636	428666	0.10162	65979	0.03534	166005	0.09273	1204205	0.19630	129745	0.08629	433064	0.13565	45936	0.00708	64877	0.01564	146532	0.05727	27108	0.00493	2132	0.00042	54794	0.06655	19249	0.00724	27106	0.01807	9836	0.00134	39890	0.01701	15987	0.00314	16352	0.01778	11678	0.00289
Symbiopectobacterium	801	G	7878	0.00752	27887	0.00266	29270	0.00788	47186	0.00580	25018	0.00847	67775	0.01275	79974	0.01593	32786	0.02656	5901	0.00324	14032	0.00155	64692	0.04965	102316	0.02426	7239	0.00388	2485	0.00139	86357	0.01408	25627	0.01704	50132	0.01570	223910	0.03450	72038	0.01737	54533	0.02131	740808	0.13474	50398	0.00994	77219	0.09379	258042	0.09712	18096	0.01206	146631	0.02003	54507	0.02324	251402	0.04933	94622	0.10286	108283	0.02676
Wolbachia	953	G	5161	0.00492	2566	0.00024	5484	0.00148	2143	0.00026	5815	0.00197	3328	0.00063	2346	0.00047	6252	0.00506	3890	0.00214	3100	0.00034	5794	0.00445	5606	0.00133	5001	0.00268	5314	0.00297	5461	0.00089	5946	0.00395	3936	0.00123	4823	0.00074	4182	0.00101	5793	0.00226	4343	0.00079	2965	0.00058	5199	0.00631	4990	0.00188	4638	0.00309	2907	0.00040	6081	0.00259	4206	0.00083	4674	0.00508	3564	0.00088
Streptomyces	1883	G	3647	0.00348	6242	0.00060	141809	0.03816	3598	0.00044	4981	0.00169	2069	0.00039	10185	0.00203	20595	0.01668	30318	0.01666	6479	0.00071	11888	0.00912	81821	0.01940	13219	0.00708	31502	0.01760	227003	0.03701	24752	0.01646	90426	0.02832	11887	0.00183	12624	0.00304	28173	0.01101	6079	0.00111	8239	0.00162	11279	0.01370	4472	0.00168	5800	0.00387	3835	0.00052	8082	0.00345	4147	0.00081	3827	0.00416	3471	0.00086
Mycolicibacterium	1866885	G	3099	0.00296	2840	0.00027	143576	0.03864	0	0.00000	4697	0.00159	0	0.00000	9430	0.00188	20340	0.01648	31707	0.01742	3542	0.00039	11634	0.00893	79620	0.01887	12130	0.00650	30321	0.01694	221747	0.03615	23838	0.01585	80165	0.02511	8745	0.00135	12352	0.00298	27019	0.01056	5434	0.00099	0	0.00000	9955	0.01209	3746	0.00141	5139	0.00343	2130	0.00029	7371	0.00314	3200	0.00063	3135	0.00341	2169	0.00054
Nocardia	1817	G	2892	0.00276	2614	0.00025	136149	0.03664	0	0.00000	4302	0.00146	0	0.00000	8319	0.00166	18687	0.01514	29795	0.01637	3379	0.00037	10766	0.00826	75315	0.01785	11480	0.00615	28533	0.01594	208858	0.03405	22333	0.01485	75164	0.02354	8135	0.00125	11422	0.00275	25451	0.00995	4895	0.00089	0	0.00000	9568	0.01162	3377	0.00127	4632	0.00309	1762	0.00024	7229	0.00308	2991	0.00059	2948	0.00320	2048	0.00051
Clostridium	1485	G	2420	0.00231	5246	0.00050	2642	0.00071	4532	0.00056	2767	0.00094	2695	0.00051	2814	0.00056	3164	0.00256	2124	0.00117	5150	0.00057	2808	0.00216	2662	0.00063	2061	0.00110	2116	0.00118	2270	0.00037	2670	0.00178	3277	0.00103	3774	0.00058	1972	0.00048	2612	0.00102	2221	0.00040	3794	0.00075	2112	0.00257	2301	0.00087	2155	0.00144	3615	0.00049	3147	0.00134	2717	0.00053	2328	0.00253	2580	0.00064
